TradeNum,DateTime,Type,Entry,SL,TP,Result,Profit,BaseScore,FinalScore,ADX,EMA200_Aligned,GoldenHour,Month
173,2024.01.09 18:45,BUY,2028.93,2025.32,2034.35,LOSS,-3.61,9,9,37.9,NO,NO,2024-01
174,2024.01.09 19:45,BUY,2029.91,2027.19,2034.00,LOSS,-2.72,9,9,25.8,NO,NO,2024-01
175,2024.01.09 20:00,BUY,2028.98,2026.26,2033.06,LOSS,-2.72,11,11,25.9,NO,NO,2024-01
176,2024.01.09 20:30,BUY,2028.32,2025.85,2032.02,WIN,3.70,9,8,23.4,NO,NO,2024-01
177,2024.01.09 21:30,BUY,2029.89,2027.96,2032.78,LOSS,-1.93,11,8,17.9,NO,NO,2024-01
178,2024.01.09 21:45,BUY,2030.82,2028.97,2033.60,LOSS,-1.85,11,10,20.6,NO,NO,2024-01
179,2024.01.09 23:00,BUY,2029.49,2027.62,2032.29,LOSS,-1.87,11,10,24.5,NO,NO,2024-01
180,2024.01.09 23:30,BUY,2030.67,2028.70,2033.62,LOSS,-1.97,11,11,26.7,NO,NO,2024-01
181,2024.01.09 23:45,BUY,2030.64,2028.70,2033.56,LOSS,-1.94,11,11,28.2,NO,NO,2024-01
182,2024.01.10 00:15,BUY,2030.14,2028.33,2032.86,LOSS,-1.82,11,11,29.2,NO,NO,2024-01
183,2024.01.10 00:45,BUY,2028.08,2026.39,2030.61,WIN,2.53,11,11,26.2,NO,NO,2024-01
184,2024.01.10 01:15,BUY,2030.60,2028.73,2033.40,LOSS,-1.87,9,9,26.7,NO,NO,2024-01
185,2024.01.10 01:30,BUY,2031.71,2029.67,2034.77,LOSS,-2.04,11,10,23.3,NO,NO,2024-01
186,2024.01.10 01:45,BUY,2031.16,2028.95,2034.47,LOSS,-2.21,11,10,22.3,NO,NO,2024-01
187,2024.01.10 02:15,BUY,2030.68,2028.31,2034.24,LOSS,-2.37,11,10,22.5,NO,NO,2024-01
188,2024.01.10 02:45,BUY,2030.74,2028.36,2034.31,LOSS,-2.38,11,10,19.5,NO,NO,2024-01
189,2024.01.10 03:15,BUY,2030.61,2028.21,2034.21,LOSS,-2.40,11,8,15.9,NO,NO,2024-01
190,2024.01.10 04:00,BUY,2029.36,2026.65,2033.43,LOSS,-2.71,9,8,18.5,NO,NO,2024-01
191,2024.01.10 05:15,BUY,2027.99,2025.74,2031.36,LOSS,-2.25,9,8,18.0,NO,NO,2024-01
192,2024.01.10 06:15,BUY,2025.30,2022.64,2029.29,WIN,3.99,9,9,35.1,NO,NO,2024-01
193,2024.01.10 07:00,BUY,2028.41,2025.71,2032.46,WIN,4.05,9,9,43.3,NO,NO,2024-01
194,2024.01.10 07:15,BUY,2030.88,2028.20,2034.90,WIN,4.02,11,11,37.9,NO,NO,2024-01
195,2024.01.10 07:30,BUY,2030.91,2027.97,2035.32,WIN,4.41,11,11,35.2,NO,NO,2024-01
196,2024.01.10 07:45,BUY,2033.16,2030.24,2037.54,WIN,4.38,12,13,34.2,NO,NO,2024-01
197,2024.01.10 08:00,BUY,2034.53,2031.30,2039.37,WIN,4.84,12,15,35.1,YES,NO,2024-01
198,2024.01.10 08:15,BUY,2033.02,2029.55,2038.23,WIN,5.21,12,15,36.8,YES,NO,2024-01
